no,gen,trim,year,km,color,accident,price
1282,1,1,2012,108591,0,1,659
1283,1,1,2012,134868,0,0,670
1284,1,0,2014,95314,0,1,720
1285,1,1,2011,26673,1,1,640
1286,1,1,2012,49795,1,1,729
1287,1,1,2013,139789,0,1,570
1288,1,2,2012,81694,0,1,699
1289,1,2,2013,61013,0,1,750
1290,1,1,2011,79030,1,1,730
1291,1,1,2011,127162,1,1,590
1292,1,1,2012,142732,0,1,470
1293,1,2,2011,164765,0,1,470
1294,1,1,2013,74288,1,1,720
1295,1,2,2013,70147,0,0,1030
1296,1,2,2012,96575,1,1,789
1297,1,1,2014,60013,0,1,930
1298,1,1,2011,93738,1,1,550
1299,1,2,2012,88465,1,1,770
1300,1,1,2013,66261,1,1,810
1301,1,1,2011,88552,0,1,589
1302,1,1,2012,91731,1,1,690
1303,1,1,2012,45537,0,1,800
1304,1,2,2011,128792,0,0,790
1305,1,0,2011,107126,0,1,625
1306,1,2,2012,98012,1,1,770
1307,1,2,2012,137301,0,1,699
1308,1,1,2013,70154,1,1,740
1309,1,2,2014,82934,1,1,890
1310,1,0,2012,56000,1,1,730
1311,1,1,2011,129000,1,0,630
1312,1,2,2013,56777,1,1,810
1313,1,0,2012,113411,0,0,670
1314,1,2,2011,89293,0,1,770
1315,1,2,2011,129921,0,0,750
1316,1,2,2012,48392,1,1,810
1317,1,1,2013,119472,0,1,590
1318,1,1,2012,39000,1,0,870
1319,1,1,2011,77608,0,0,760
1320,1,1,2012,82263,0,1,680
1321,1,1,2012,67438,1,1,630
1322,1,1,2013,45044,1,1,700
1323,1,2,2011,91777,1,1,680
1324,1,2,2011,61265,0,0,938
1325,1,1,2012,10250,1,1,720
1326,1,2,2011,108297,0,0,799
1327,1,2,2011,128300,1,1,650
1328,1,0,2011,130436,1,1,450
1329,1,1,2011,129427,0,1,650
1330,1,2,2013,70891,1,1,730
1331,1,2,2012,104576,0,1,730
1332,1,2,2011,92588,1,0,800
1333,1,2,2013,89106,1,1,900
1334,1,2,2012,139652,1,1,510
1335,1,2,2011,83200,0,1,699
1336,1,2,2014,54231,0,1,980
1337,1,1,2012,124605,0,1,690
1338,1,2,2012,60040,0,1,730
1339,1,1,2012,141710,0,0,610
1340,1,1,2012,103801,0,0,680
1341,1,1,2012,99000,0,1,510
1342,1,1,2012,108387,1,1,640
1343,1,1,2013,89037,1,1,850
1344,1,1,2013,89252,1,1,679
1345,1,2,2012,74624,0,0,799
1346,1,1,2014,140770,0,1,550
1347,1,1,2013,122489,0,1,590
1348,1,1,2011,145407,1,1,520
1349,1,1,2012,110235,1,1,600
1350,1,1,2012,89567,1,1,680
1351,1,1,2012,81825,0,0,760
1352,1,2,2012,83844,1,1,680
1353,1,1,2011,159906,0,1,470
1354,1,1,2013,145497,0,1,620
1355,1,1,2011,88587,1,1,599
1356,1,2,2011,120845,0,0,780
1357,1,1,2012,133663,0,1,670
1358,1,2,2013,75239,0,0,970
1359,1,1,2011,148332,1,1,520
1360,1,1,2011,97690,1,1,650
1361,1,1,2012,64732,1,1,750
1362,1,0,2011,92620,1,1,630
1363,1,2,2014,92726,0,1,890
1364,1,2,2011,96238,1,1,720
1365,1,1,2014,7296,1,1,899
1366,1,2,2013,125219,1,1,730
1367,1,1,2013,73875,1,0,830
1368,1,1,2014,59718,0,0,880
1369,1,2,2011,128854,1,1,590
1370,1,1,2013,120000,1,1,800
1371,1,2,2014,121711,0,0,770
1372,1,1,2013,106970,1,1,690
1373,1,1,2013,64480,1,1,700
1374,1,2,2011,26208,1,0,910
1375,1,2,2012,146051,1,1,680
1376,1,2,2012,135385,1,1,660
1377,1,1,2013,133247,0,0,640
1378,1,1,2011,67007,0,1,650
1379,1,1,2012,125366,1,0,580
1380,1,2,2012,92474,0,1,790
1381,1,1,2011,136943,0,0,579
1382,1,2,2013,118070,1,1,730
1383,1,2,2014,110643,1,1,880
1384,1,2,2012,81837,0,1,830
1385,1,2,2012,26345,0,0,970
1386,1,2,2011,130987,1,0,730
1387,1,1,2012,100000,1,0,770
1388,1,1,2012,109878,1,1,580
1389,1,1,2013,35266,1,1,990
1390,1,1,2012,74394,1,1,720
1391,1,1,2012,154391,1,1,620
1392,1,1,2013,54454,1,1,830
1393,1,1,2012,188328,1,1,540
1394,1,0,2013,97937,0,1,690
1395,1,2,2012,102376,1,1,730
1396,1,1,2012,160430,0,1,620
1397,1,1,2012,110000,0,1,600
1398,1,1,2012,70861,1,1,720
1399,1,1,2012,93817,1,1,580
1400,1,1,2012,88225,0,1,799
1401,1,1,2011,70000,0,1,599
1402,1,2,2012,172914,1,1,615
1403,1,1,2011,199349,0,0,590
1404,1,2,2012,106786,1,1,790
1405,1,2,2011,55401,1,1,730
1406,1,1,2014,83586,1,1,850
1407,1,2,2014,57619,0,1,890
1408,1,1,2012,55794,1,0,750
1409,1,2,2012,140658,1,1,650
1410,1,2,2011,158723,1,1,590
1411,1,1,2012,123000,0,1,550
1412,1,1,2011,55903,1,0,839
1413,1,2,2012,96678,1,1,750
1414,1,2,2013,110855,0,1,750
1415,1,1,2012,108862,1,1,630
1416,1,2,2012,113006,1,1,740
1417,1,1,2012,89921,0,0,705
1418,1,2,2014,124469,1,0,820
1419,1,1,2012,82491,1,1,510
1420,1,2,2012,83500,0,0,830
1421,1,2,2012,88240,0,0,850
1422,1,1,2011,94158,1,1,580
1423,1,2,2012,100000,0,1,750
1424,1,2,2013,59938,1,0,930
1425,1,1,2012,93982,0,1,750
1426,1,1,2011,111055,1,0,590
1427,1,2,2012,84688,1,1,790
1428,1,1,2013,92564,0,0,760
1429,1,2,2012,90964,0,1,790
1430,1,2,2011,123619,1,1,650
1431,1,1,2013,76000,1,0,700
1432,1,1,2013,53989,1,1,790
1433,1,1,2013,53109,0,1,980
1434,1,2,2014,115988,0,0,950
1435,1,2,2012,103508,0,1,790
1436,1,2,2011,130200,0,1,620
1437,1,0,2012,53342,0,0,750
1438,1,2,2013,67408,0,1,820
1439,1,1,2011,63008,1,1,650
1440,1,1,2012,110000,0,1,740
1441,1,2,2013,95034,1,1,850
1442,1,1,2013,59620,2,0,830
1443,1,2,2011,57950,0,1,790
1444,1,1,2013,145874,0,1,790
1445,1,2,2012,156056,0,1,680
1446,1,1,2014,157576,1,1,590
1447,1,2,2012,138686,1,1,690
1448,1,1,2012,145050,1,1,590
1449,1,2,2013,129040,0,1,690
1450,1,2,2013,89800,1,1,770
1451,1,2,2012,174224,1,0,850
1452,1,1,2012,140000,0,1,670
1453,1,1,2012,109755,0,0,670
1454,1,1,2013,70000,1,0,829
1455,1,1,2012,125372,1,1,699
1456,1,1,2012,129737,1,1,680
1457,1,1,2012,161526,0,1,530
1458,1,2,2012,102154,0,1,650
1459,1,1,2012,60299,1,1,640
1460,1,1,2014,108857,1,0,790
1461,1,1,2012,163377,0,1,620
1462,1,1,2011,136194,0,0,650
1463,1,0,2011,197099,1,1,390
1464,1,2,2012,162126,0,1,580
1465,1,2,2011,68000,1,1,770
1466,1,2,2012,108334,1,0,750
1467,1,1,2011,108941,1,0,589
1468,1,2,2011,58999,1,1,790
1469,1,2,2011,104800,0,0,820
1470,1,2,2011,84970,0,1,680
1471,1,1,2012,91017,1,0,720
1472,1,2,2012,86309,0,0,820
1473,1,2,2012,76846,1,0,850
1474,1,1,2012,111279,0,1,490
1475,1,1,2011,105096,1,0,650
1476,1,2,2012,163969,0,1,790
1477,1,1,2011,74956,1,1,670
1478,1,1,2011,89466,1,1,570
1479,1,1,2011,80109,0,0,710
1480,1,1,2012,103580,0,1,650
1481,1,1,2014,92811,1,1,880
1482,1,1,2012,127229,1,1,680
1483,1,2,2011,149575,0,1,630
1484,1,1,2011,87000,1,1,670
1485,1,1,2014,120000,1,1,699
1486,1,1,2012,107883,0,1,620
1487,1,2,2012,90263,0,1,580
1488,1,1,2012,86280,0,1,740
1489,1,1,2011,67295,0,1,730
1490,1,1,2011,63126,1,1,650
1491,1,1,2013,121929,0,1,690
1492,1,2,2011,89464,1,0,745
1493,1,1,2012,129952,1,1,630
1494,1,0,2012,48000,1,1,730
1495,1,2,2011,87919,0,1,599
1496,1,1,2013,129864,0,1,750
1497,1,1,2013,128721,1,1,690
1498,1,2,2011,96818,0,1,690
1499,1,1,2012,62000,0,1,830
1500,1,1,2012,86000,0,0,780
1501,1,0,2013,113000,2,1,650
1502,1,1,2012,131520,0,1,690
1503,1,2,2012,133552,1,1,690
1504,1,1,2012,46003,0,1,730
1505,1,0,2012,87890,0,1,680
1506,1,2,2012,84000,1,1,800
1507,1,2,2012,89504,0,1,820
1508,1,1,2012,129159,0,1,699
1509,1,2,2014,172600,0,1,620
1510,1,2,2012,114347,0,1,720
1511,1,1,2013,111668,0,1,710
1512,1,0,2012,105853,2,0,520
1513,1,1,2013,103695,0,1,750
1514,1,2,2011,66300,1,0,850
1515,1,2,2012,169100,0,1,660
1516,1,1,2013,83700,0,1,890
1517,1,1,2013,69000,0,1,680
1518,1,1,2012,137551,1,1,530
1519,1,1,2012,87415,0,1,630
1520,1,2,2011,96669,0,0,720
1521,1,1,2014,105573,1,1,690
1522,1,1,2012,87796,0,1,640
1523,1,1,2012,45953,1,1,720
1524,1,1,2012,90740,1,0,770
1525,1,2,2013,93402,1,0,890
1526,1,1,2012,114000,1,1,650
1527,1,2,2013,84000,0,1,750
1528,1,2,2012,132689,0,1,729
1529,1,1,2012,142761,1,1,545
1530,1,2,2012,107132,2,1,630
1531,1,1,2013,85650,0,1,720
1532,1,2,2012,159411,1,1,620
1533,1,1,2012,141659,1,1,440
1534,1,2,2011,59388,0,1,680
1535,1,2,2012,49500,2,0,840
1536,1,2,2012,71966,1,1,850
1537,1,2,2011,99757,0,0,799
1538,1,1,2012,102000,0,1,750
1539,1,1,2014,61484,1,1,780
1540,1,1,2012,116780,0,1,549
1541,1,1,2012,130000,0,1,630
1542,1,1,2012,45000,1,0,780
1543,1,1,2011,183513,2,1,450
1544,1,2,2011,122934,1,1,700
1545,1,2,2011,126546,1,0,690
1546,1,2,2011,138805,0,1,729
1547,1,1,2012,77609,0,1,799
1548,1,2,2012,120000,1,1,699
1549,1,1,2012,120000,1,1,699
1550,1,0,2012,15300,1,1,560
1551,1,1,2012,129408,0,0,700
1552,1,0,2011,186000,1,1,510
1553,1,1,2013,36042,1,1,750
1554,1,2,2012,66510,0,0,799
1555,1,2,2012,80000,1,1,850
1556,1,2,2012,136000,1,1,730
1557,1,1,2013,88635,0,1,670
1558,1,0,2011,186877,0,1,499
1559,1,1,2012,98000,0,0,690
1560,1,1,2014,3266,1,0,1030
1561,1,2,2012,107474,0,1,690
1562,1,1,2013,92000,1,1,690
1563,1,2,2012,186617,1,1,499
1564,1,2,2014,80000,2,0,850
1565,1,1,2012,114997,1,1,650
1566,1,2,2011,109909,0,1,790
1567,1,2,2011,139960,1,1,680
1568,1,1,2013,129000,0,1,740
1569,1,2,2011,142491,0,1,699
1570,1,2,2013,160064,0,1,630
1571,1,1,2011,83000,1,1,700
1572,1,2,2011,116000,1,0,700
1573,1,2,2012,97000,0,1,800
1574,1,1,2013,111769,0,1,750
1575,1,1,2012,60217,0,1,750
1576,1,2,2013,90560,1,1,750
1577,1,1,2013,153169,0,1,620
1578,1,1,2012,42500,0,0,850
1579,1,1,2011,132813,1,1,600
1580,1,0,2013,140604,0,1,680
1581,1,1,2012,55178,1,0,822
1582,1,2,2011,142643,1,1,590
1583,1,2,2011,134702,0,1,690
1584,1,1,2012,79927,0,0,700
1585,1,2,2012,157823,1,1,590
1586,1,2,2012,77758,1,1,840
1587,1,2,2012,65009,0,0,839
1588,1,1,2013,132350,2,1,590
1589,1,1,2012,117500,0,1,660
1590,1,1,2011,75001,1,1,580
1591,1,2,2012,142363,1,1,550
1592,1,2,2012,90738,0,0,820
1593,1,2,2012,103280,1,0,830
1594,1,1,2011,79950,2,1,630
1595,1,1,2013,77654,0,1,730
1596,1,1,2014,110000,1,1,750
1597,1,2,2011,101331,1,1,400
1598,1,1,2012,108566,0,1,590
1599,1,1,2012,60785,1,1,770
1600,1,2,2013,105669,1,1,820
1601,1,1,2013,115535,0,1,830
1602,1,2,2013,103254,0,1,850
1603,1,1,2012,87000,0,1,650
1604,1,1,2012,169270,1,0,620
1605,1,1,2011,82149,0,1,660
1606,1,1,2013,95898,0,1,690
1607,1,2,2012,77726,1,1,700
1608,1,1,2012,73825,1,0,700
1609,1,1,2012,67901,0,0,780
1610,1,1,2013,133000,1,0,780
1611,1,2,2012,98000,0,0,730
1612,1,1,2011,63861,0,0,790
1613,1,1,2012,78000,0,1,730
1614,1,1,2012,160000,0,1,550
1615,1,2,2011,122720,1,1,590
1616,1,1,2012,37000,1,0,680
1617,1,2,2012,58436,0,0,880
1618,1,2,2012,111720,0,1,520
1619,1,2,2014,147000,1,0,890
1620,1,0,2011,78282,0,0,490
1621,1,2,2011,81000,0,1,710
1622,1,1,2013,141931,0,1,580
1623,1,1,2013,108037,1,0,750
1624,1,1,2011,120227,0,1,610
1625,1,1,2012,116608,0,1,690
1626,1,0,2012,90000,1,0,630
1627,1,2,2012,92937,0,0,850
1628,1,2,2011,100000,1,1,650
1629,1,2,2012,133151,0,1,860
1630,1,1,2013,82873,1,1,720
1631,1,2,2011,90000,1,0,690
1632,1,1,2012,105593,1,1,760
1633,1,1,2012,88335,1,0,730
1634,1,0,2011,64834,0,0,670
1635,1,1,2012,132314,0,1,680
1636,1,1,2012,61414,1,1,530
1637,1,2,2011,164889,0,1,720
1638,1,0,2011,145470,1,1,380
1639,1,2,2011,97062,0,0,600
1640,2,1,2014,93419,0,1,890
1641,2,1,2015,69547,0,1,950
1642,2,0,2014,85348,0,0,850
1643,2,1,2014,47122,0,1,1030
1644,2,0,2014,160301,1,1,690
1645,2,1,2015,45662,0,0,950
1646,2,1,2014,89834,0,1,980
1647,2,1,2015,70678,0,1,950
1648,2,1,2015,157378,0,1,850
1649,2,1,2015,10794,1,0,1199
1650,2,1,2015,89928,0,0,995
1651,2,0,2015,78548,0,1,849
1652,2,1,2015,22829,0,0,1079
1653,2,1,2014,112386,0,1,790
1654,2,1,2015,104727,0,0,890
1655,2,1,2014,61967,1,0,970
1656,2,0,2016,180000,1,1,580
1657,2,1,2014,35507,1,0,1040
1658,2,1,2015,72027,0,1,970
1659,2,1,2014,63000,1,1,690
1660,2,1,2016,99400,0,1,1089
1661,2,0,2015,116079,0,1,630
1662,2,1,2015,86066,0,1,920
1663,2,1,2014,119291,0,0,899
1664,2,1,2014,128159,0,1,850
1665,2,1,2015,115123,0,1,820
1666,2,1,2015,81759,0,1,940
1667,2,1,2016,117175,0,0,820
1668,2,1,2014,75745,1,0,1050
1669,2,1,2014,70597,0,1,849
1670,2,1,2014,64550,1,1,798
1671,2,1,2014,11300,1,0,970
1672,2,1,2014,88242,0,0,1070
1673,2,1,2014,37697,0,0,1190
1674,2,1,2015,45272,0,0,1190
1675,2,0,2014,21834,2,0,700
1676,2,1,2015,59599,0,0,1030
1677,2,1,2015,137119,1,1,920
1678,2,1,2016,28555,1,0,1150
1679,2,1,2014,55732,1,0,1050
1680,2,1,2014,130000,0,1,780
1681,2,1,2014,73914,0,1,420
1682,2,1,2015,64607,0,1,860
1683,2,1,2014,73914,0,1,420
1684,2,1,2015,131365,0,1,740
1685,2,1,2015,80023,1,1,890
1686,2,1,2015,26579,0,1,1199
1687,2,1,2014,103288,0,1,880
1688,2,1,2014,73461,1,1,670
1689,2,1,2016,98309,0,1,990
1690,2,1,2016,27039,0,0,1099
1691,2,1,2015,71060,0,0,970
1692,2,1,2014,88905,0,1,999
1693,2,1,2015,148941,0,1,750
1694,2,1,2014,48302,1,1,960
1695,2,1,2014,68086,0,1,995
1696,2,1,2015,57147,2,1,870
1697,2,1,2015,37255,0,0,1180
1698,2,1,2016,26856,0,1,1080
1699,2,0,2014,138176,1,1,590
1700,2,1,2015,28557,2,0,899
1701,2,1,2015,108389,1,1,840
1702,2,1,2014,109917,0,1,790
1703,2,1,2014,102417,0,0,820
1704,2,0,2014,68063,1,1,760
1705,2,0,2015,850,1,1,850
1706,2,1,2014,102338,1,1,799
1707,2,1,2014,85770,1,1,799
1708,2,1,2014,110416,1,1,700
1709,2,1,2015,90000,1,1,750
1710,2,1,2014,108338,1,1,670
