cid,model,badge,badgedetail,formyear,mileage,price,color,accident
30429147,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,63680,1450,흰색,
30429523,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,90508,1280,흰색,
30507650,"아반떼 AD","1.6 GDI 스타일","",2018,80220,1180,흰색,
31118173,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,73000,1230,쥐색,rearDoorLeft
31138512,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,87000,1320,흰색,
31004508,"아반떼 AD","1.6 GDI 스타일","",2018,145000,920,흰색,hood|insidePanelLeft|radiatorSupport|frontFenderLeft
31004603,"아반떼 AD","1.6 GDI 스타일","",2018,120000,1020,흰색,frontDoorRight|radiatorSupport
31112770,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,26033,1250,흰색,quarterPanelLeft|trunkLead|rearPanel
30113496,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,72067,1380,쥐색,
30459994,"아반떼 AD","1.6 GDI 스타일","",2018,89000,1130,흰색,
31047438,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,57919,1350,검정색,
31027215,"아반떼 AD","1.6 GDI 프리미엄","",2018,79519,1500,은회색,
31203394,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,59184,1295,흰색,
31214830,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,48309,1470,흰색,
30883430,"아반떼 AD","1.6 GDI 모던","스페셜",2016,131150,1100,쥐색,
30734630,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,59086,1320,쥐색,frontFenderLeft
30837746,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,85382,1270,쥐색,
29760051,"아반떼 AD","1.6 GDI 스마트","스페셜",2017,150922,899,흰색,quarterPanelLeft|rearDoorLeft
29760059,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,138812,999,흰색,frontFenderRight|hood|radiatorSupport
30893287,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,62367,1399,흰색,
31070048,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,56501,1439,은회색,
31230084,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,53657,1380,흰색,
31218313,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,57786,1380,흰색,
31195605,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,73164,1290,흰색,
31047377,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,58529,1450,흰색,
31062839,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,25232,1250,쥐색,trunkLead|rearPanel
31139094,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,102072,1100,흰색,
31025738,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,19642,1450,흰색,
30988585,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,19640,1450,흰색,
31250893,"아반떼 AD","1.6 GDI 프리미엄","",2016,88833,1550,검정색,
31196021,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,79043,1320,은회색,
31173627,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,75598,1330,검정색,
30523661,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,112529,1150,흰색,
31114714,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,40000,1380,흰색,
31250754,"아반떼 AD","1.6 GDI 스타일","",2018,31109,1330,쥐색,quarterPanelLeft
30892986,"아반떼 AD","1.6 GDI 스타일","",2018,109354,969,흰색,trunkLead|rearPanel
30539932,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,89465,1330,담녹색,
30676438,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,95620,1055,흰색,
30305991,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,66000,1199,쥐색,frontFenderRight|radiatorSupport|frontFenderLeft
30927456,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,44119,1355,은색,hood
30935291,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,100464,1150,쥐색,
30890487,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,13180,1490,흰색,
31076437,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,39000,1300,쥐색,trunkLead|rearPanel
30779980,"아반떼 AD","1.6 GDI 프리미엄","",2016,72000,1340,흰색,
31108386,"아반떼 AD","1.6 GDI 모던","스페셜",2017,83006,1330,흰색,
29926445,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,61075,1360,흰색,
30700348,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,78086,1299,흰색,
31002635,"아반떼 AD","1.6 GDI 스타일","",2016,78042,920,흰색,frontFenderRight|hood|frontFenderLeft
29901969,"아반떼 AD","1.6 GDI 스타일","",2018,109575,1000,흰색,rearDoorRight|hood
31129676,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,74433,1270,쥐색,
31245957,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,34184,1250,쥐색,frontFenderRight
31004023,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,17000,1420,검정색,rearDoorRight
30905311,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,72000,1199,쥐색,frontFenderRight|hood|frontDoorRight
30890707,"아반떼 AD","1.6 GDI 모던","스페셜",2017,67521,1439,흰색,
30677038,"아반떼 AD","1.6 GDI 스타일","",2016,60834,920,은색,rearDoorRight|trunkLead|frontDoorRight
30472938,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,68000,1049,흰색,frontFenderRight|frontFenderLeft
31041618,"아반떼 AD","1.6 GDI 스마트","스페셜",2017,19700,1499,흰색,
31185377,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,41000,1350,쥐색,frontFenderRight|hood|radiatorSupport
31207600,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,71483,1260,쥐색,
31110765,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,93491,1030,흰색,insidePanelRight|frontFenderRight|frontSideMemberLeft|frontSideMemberRight|hood|insidePanelLeft|frontFenderLeft
31183288,"아반떼 AD","1.6 GDI 스타일","",2016,92000,1030,흰색,
30354219,"아반떼 AD","1.6 GDI 프리미엄","",2018,53293,1620,은색,
31126462,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,44032,1430,은색,
30981867,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,63430,1210,흰색,
31242520,"아반떼 AD","1.6 GDI 모던","스페셜",2017,84743,1390,흰색,
31126975,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,55000,1199,검정색,quarterPanelLeft|rearDoorLeft
31226955,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,91400,1155,흰색,frontDoorRight|frontFenderLeft
30842480,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,47016,1449,흰색,
30942201,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,33800,1380,청색,
30695989,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,138500,1166,흰색,
31009418,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,123807,1050,흰색,
31005660,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,52164,1290,청색,
31141199,"아반떼 AD","1.6 GDI 스타일","",2017,50000,899,은색,frontFenderRight|rearDoorRight|trunkLead|frontDoorRight|rearPanel
30663100,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,110105,1120,흰색,
31232393,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,117799,899,쥐색,frontFenderRight|hood|frontDoorRight|radiatorSupport|frontFenderLeft|rearPanel|rearDoorLeft
31077124,"아반떼 AD","1.6 GDI 프리미엄","",2018,65297,1360,흰색,quarterPanelRight|rearPanel
31191958,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,47672,1450,흰색,
31196720,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,92077,1210,흰색,
31248872,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,128843,960,흰색,frontFenderRight
31068500,"아반떼 AD","1.6 GDI 모던","스페셜",2018,328,960,흰색,frontFenderRight|frontSideMemberLeft|frontSideMemberRight|frontWheelHouseLeft|hood|frontDoorLeft|insidePanelLeft|frontDoorRight|radiatorSupport|frontFenderLeft
30734472,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,47218,1360,흰색,frontFenderRight|frontFenderLeft
30960343,"아반떼 AD","1.6 GDI 모던","스페셜",2017,56566,1450,쥐색,frontFenderRight|rearDoorRight|frontDoorRight
31017921,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,100000,1250,흰색,
31189715,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,48371,1530,흰색,
30785634,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,44641,1365,은색,
31077665,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,72280,1385,흰색,
30841271,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,25615,1419,흰색,
31099201,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,68835,1260,흰색,hood
31059670,"아반떼 AD","1.6 GDI 스타일","",2017,74856,1099,흰색,
31044123,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,53218,1370,흰색,
30968989,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,73350,1320,흰색,
31028873,"아반떼 AD","1.6 GDI 모던","스페셜",2016,57354,1340,쥐색,rearDoorRight
